"g","Local","Visitante","h_g","a_g","yg1","yg2","Jornada"
191,"Deportivo Pereira","Alianza FC",13,17,2,1,"20"
192,"Atlético Bucaramanga","América de Cali",1,16,2,1,"20"
193,"Huila","Junior",12,14,0,2,"20"
194,"Tolima","Nacional",5,6,2,2,"20"
195,"Medellín","Unión Magdalena",19,2,4,0,"20"
196,"Millonarios","La Equidad",10,8,0,0,"20"
197,"Once Caldas","Santa Fe",15,18,3,1,"20"
198,"Deportivo Cali","Chicó",9,4,0,0,"20"
199,"Pasto","Envigado",20,11,2,1,"20"
200,"Rionegro Águilas","Jaguares FC",3,7,3,0,"20"
201,"Pasto","Nacional",20,6,1,1,"1 Cuadrangulares"
202,"Alianza FC","Rionegro Águilas",17,3,5,3,"1 Cuadrangulares"
203,"Medellín","Millonarios",19,10,2,2,"1 Cuadrangulares"
204,"Chicó","América de Cali",4,16,1,1,"1 Cuadrangulares"
205,"Rionegro Águilas","Pasto",3,20,0,0,"2 Cuadrangulares"
206,"Nacional","Alianza FC",6,17,1,1,"2 Cuadrangulares"
207,"Millonarios","Chicó",10,4,1,0,"2 Cuadrangulares"
208,"América de Cali","Medellín",16,19,2,0,"2 Cuadrangulares"
209,"Pasto","Alianza FC",20,17,0,0,"3 Cuadrangulares"
210,"Nacional","Rionegro Águilas",6,3,1,0,"3 Cuadrangulares"
211,"Chicó","Medellín",4,19,1,0,"3 Cuadrangulares"
212,"América de Cali","Millonarios",16,10,0,1,"3 Cuadrangulares"
213,"Rionegro Águilas","Nacional",3,6,0,1,"4 Cuadrangulares"
214,"Alianza FC","Pasto",17,20,1,0,"4 Cuadrangulares"
215,"Medellín","Chicó",19,4,0,0,"4 Cuadrangulares"
216,"Millonarios","América de Cali",10,16,2,1,"4 Cuadrangulares"
217,"Pasto","Rionegro Águilas",20,3,3,0,"5 Cuadrangulares"
218,"Alianza FC","Nacional",17,6,0,0,"5 Cuadrangulares"
219,"Chicó","Millonarios",4,10,2,1,"5 Cuadrangulares"
220,"Medellín","América de Cali",19,16,0,1,"5 Cuadrangulares"
221,"Nacional","Pasto",6,20,3,2,"6 Cuadrangulares"
222,"Rionegro Águilas","Alianza FC",3,17,1,1,"6 Cuadrangulares"
223,"América de Cali","Chicó",16,4,3,2,"6 Cuadrangulares"
224,"Millonarios","Medellín",10,19,2,1,"6 Cuadrangulares"
225,"Nacional","Millonarios",6,10,0,0,"1 Final"
226,"Millonarios","Nacional",10,6,1,1,"2 Final"
